DATAFLOW,LAST UPDATE,freq,duration,age,quant_inc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,AT,2019,30.2,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,BE,2019,35.2,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,BG,2019,58.2,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,CY,2019,55.2,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,CZ,2019,34.6,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,DE,2019,47.0,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,DK,2019,43.1,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,EE,2019,42.4,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,EL,2019,49.0,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,ES,2019,51.7,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,EU27_2020,2019,47.3,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,FI,2019,66.2,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,FR,2019,47.5,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,HR,2019,31.4,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,HU,2019,43.7,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,IE,2019,47.3,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,IS,2019,54.4,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,IT,2019,38.0,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,LT,2019,32.9,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,LU,2019,39.6,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,LV,2019,35.2,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,MT,2019,51.1,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,NL,2019,63.8,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,NO,2019,61.0,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,PL,2019,41.6,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,PT,2019,38.6,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,RO,2019,90.2,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,RS,2019,72.8,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,SE,2019,36.5,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,SI,2019,34.6,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,SK,2019,46.8,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU1,PC,TR,2019,71.1,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,AT,2019,30.5,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,BE,2019,38.1,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,BG,2019,47.8,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,CY,2019,47.4,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,CZ,2019,36.0,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,DE,2019,43.5,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,DK,2019,41.1,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,EE,2019,37.2,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,EL,2019,38.4,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,ES,2019,42.6,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,EU27_2020,2019,41.3,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,FI,2019,39.7,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,FR,2019,42.8,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,HR,2019,37.0,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,HU,2019,29.7,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,IE,2019,45.4,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,IS,2019,26.2,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,IT,2019,30.5,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,LT,2019,38.1,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,LU,2019,32.4,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,LV,2019,38.4,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,MT,2019,42.0,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,NL,2019,48.3,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,NO,2019,44.9,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,PL,2019,43.3,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,PT,2019,24.3,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,RO,2019,82.7,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,RS,2019,66.6,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,SE,2019,33.9,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,SI,2019,38.4,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,SK,2019,30.7,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU2,PC,TR,2019,66.3,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU3,PC,AT,2019,35.0,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU3,PC,BE,2019,40.1,,
ESTAT:HLTH_EHIS_PA7I(1.0),24/02/22 23:00:00,A,NEV,TOTAL,QU3,PC,BG,2019,43.8,,
