DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,AT,2011,32.34,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,AT,2012,32.79,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,AT,2013,33.52,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,AT,2014,32.4,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,AT,2015,32.5,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,AT,2016,32.43,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,AT,2017,31.56,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,AT,2018,32.34,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,AT,2019,32.09,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,AT,2020,31.73,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,AT,2021,31.08,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,BE,2011,41.29,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,BE,2012,39.02,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,BE,2013,38.75,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,BE,2014,37.04,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,BE,2015,35.23,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,BE,2016,35.8,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,BE,2017,34.65,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,BE,2018,34.8,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,BE,2019,31.73,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,BE,2020,31.52,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,BE,2021,30.77,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,BG,2011,31.57,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,BG,2012,33.57,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,BG,2013,30.63,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,BG,2014,32.72,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,BG,2015,31.85,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,BG,2016,30.61,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,BG,2017,29.3,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,BG,2018,29.26,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,BG,2019,31.31,,
ESTAT:HLTH_CD_ASDR2(1.0),21/03/25 11:00:00,A,RT,F,TOTAL,C50,BG,2020,32.88,,
